date,bikes_hired
21/01/2014,21.756
22/01/2014,21.072
23/01/2014,20.020
24/01/2014,19.272
25/01/2014,14.581
26/01/2014,7.033
27/01/2014,18.285
28/01/2014,19.939
29/01/2014,10.585
30/01/2014,17.052
31/01/2014,13.859
01/02/2014,13.981
02/02/2014,15.924
03/02/2014,20.370
04/02/2014,21.217
05/02/2014,29.418
06/02/2014,25.395
07/02/2014,19.857
08/02/2014,10.928
09/02/2014,11.657
10/02/2014,19.278
11/02/2014,18.514
12/02/2014,18.000
13/02/2014,20.954
14/02/2014,12.794
15/02/2014,11.208
16/02/2014,18.484
17/02/2014,19.013
18/02/2014,19.484
19/02/2014,21.556
20/02/2014,19.396
21/02/2014,21.269
22/02/2014,20.033
23/02/2014,13.680
24/02/2014,21.469
25/02/2014,20.713
26/02/2014,23.938
27/02/2014,20.629
28/02/2014,13.781
01/03/2014,18.823
02/03/2014,11.727
03/03/2014,18.150
04/03/2014,23.069
05/03/2014,25.102
06/03/2014,24.696
07/03/2014,24.385
08/03/2014,25.556
09/03/2014,33.955
10/03/2014,24.347
11/03/2014,23.871
12/03/2014,27.173
13/03/2014,27.552
14/03/2014,28.134
15/03/2014,29.664
16/03/2014,34.421
17/03/2014,26.465
18/03/2014,25.502
19/03/2014,26.719
20/03/2014,23.718
21/03/2014,23.821
22/03/2014,19.091
23/03/2014,17.463
24/03/2014,24.055
25/03/2014,19.421
26/03/2014,20.493
27/03/2014,23.462
28/03/2014,24.198
29/03/2014,29.511
30/03/2014,26.605
31/03/2014,26.715
01/04/2014,29.782
02/04/2014,28.876
03/04/2014,28.245
04/04/2014,27.401
05/04/2014,25.648
06/04/2014,16.387
07/04/2014,18.883
08/04/2014,26.654
09/04/2014,29.621
10/04/2014,29.229
11/04/2014,28.435
12/04/2014,25.706
13/04/2014,31.404
14/04/2014,28.742
15/04/2014,30.031
16/04/2014,30.934
17/04/2014,27.676
18/04/2014,22.152
19/04/2014,21.424
20/04/2014,7.188
21/04/2014,20.532
22/04/2014,22.689
23/04/2014,27.102
24/04/2014,29.119
25/04/2014,20.400
26/04/2014,25.195
27/04/2014,21.284
28/04/2014,29.474
29/04/2014,46.333
30/04/2014,49.025
01/05/2014,16.644
02/05/2014,26.510
03/05/2014,31.534
04/05/2014,33.030
05/05/2014,33.748
06/05/2014,32.323
07/05/2014,28.802
08/05/2014,19.398
09/05/2014,30.131
10/05/2014,19.373
11/05/2014,17.645
12/05/2014,26.149
13/05/2014,25.351
14/05/2014,34.122
15/05/2014,35.148
16/05/2014,36.268
17/05/2014,38.147
18/05/2014,43.663
19/05/2014,37.088
20/05/2014,33.626
21/05/2014,34.437
22/05/2014,30.819
23/05/2014,30.556
24/05/2014,18.723
25/05/2014,33.401
26/05/2014,12.049
27/05/2014,14.446
28/05/2014,21.978
29/05/2014,29.229
30/05/2014,31.331
31/05/2014,35.040
01/06/2014,36.655
02/06/2014,33.481
03/06/2014,29.332
04/06/2014,25.905
05/06/2014,34.617
06/06/2014,37.440
07/06/2014,29.919
08/06/2014,44.415
09/06/2014,34.305
10/06/2014,40.128
11/06/2014,39.582
12/06/2014,39.928
13/06/2014,40.036
14/06/2014,32.758
15/06/2014,28.944
16/06/2014,31.592
17/06/2014,37.658
18/06/2014,35.431
19/06/2014,36.113
20/06/2014,36.924
21/06/2014,42.463
22/06/2014,41.596
23/06/2014,35.206
24/06/2014,38.066
25/06/2014,39.623
26/06/2014,35.438
27/06/2014,35.912
28/06/2014,20.199
29/06/2014,26.714
30/06/2014,32.193
01/07/2014,39.495
02/07/2014,40.878
03/07/2014,43.116
04/07/2014,38.316
05/07/2014,27.332
06/07/2014,31.117
07/07/2014,36.191
08/07/2014,35.107
09/07/2014,38.844
10/07/2014,32.108
11/07/2014,27.618
12/07/2014,38.331
13/07/2014,33.227
14/07/2014,38.450
15/07/2014,40.888
16/07/2014,42.341
17/07/2014,42.404
18/07/2014,40.543
19/07/2014,37.061
20/07/2014,34.379
21/07/2014,38.499
22/07/2014,42.928
23/07/2014,42.486
24/07/2014,42.412
25/07/2014,31.881
26/07/2014,43.788
27/07/2014,39.917
28/07/2014,36.203
29/07/2014,42.308
30/07/2014,43.044
31/07/2014,41.970
01/08/2014,40.009
02/08/2014,38.046
03/08/2014,41.944
04/08/2014,39.856
05/08/2014,40.716
06/08/2014,38.665
07/08/2014,42.491
08/08/2014,34.234
09/08/2014,47.454
10/08/2014,23.980
11/08/2014,31.725
12/08/2014,34.827
13/08/2014,37.856
14/08/2014,27.185
15/08/2014,32.510
16/08/2014,47.245
17/08/2014,39.952
18/08/2014,30.784
19/08/2014,35.332
20/08/2014,36.817
21/08/2014,33.236
22/08/2014,34.047
23/08/2014,29.999
24/08/2014,30.962
25/08/2014,6.175
26/08/2014,18.448
27/08/2014,32.286
28/08/2014,31.842
29/08/2014,32.439
30/08/2014,30.832
31/08/2014,33.312
01/09/2014,27.455
02/09/2014,36.836
03/09/2014,36.523
04/09/2014,35.448
05/09/2014,35.013
06/09/2014,33.434
07/09/2014,34.248
08/09/2014,36.983
09/09/2014,37.674
10/09/2014,37.091
11/09/2014,35.303
12/09/2014,37.144
13/09/2014,34.174
14/09/2014,31.770
15/09/2014,36.629
16/09/2014,37.535
17/09/2014,38.583
18/09/2014,38.442
19/09/2014,36.841
20/09/2014,31.031
21/09/2014,33.334
22/09/2014,35.178
23/09/2014,36.460
24/09/2014,32.680
25/09/2014,35.367
26/09/2014,35.474
27/09/2014,35.087
28/09/2014,37.873
29/09/2014,31.701
30/09/2014,37.373
01/10/2014,32.733
02/10/2014,36.992
03/10/2014,37.909
04/10/2014,18.967
05/10/2014,33.082
06/10/2014,24.330
07/10/2014,31.465
08/10/2014,23.573
09/10/2014,26.642
10/10/2014,32.510
11/10/2014,30.498
12/10/2014,23.063
13/10/2014,13.299
14/10/2014,28.518
15/10/2014,25.424
16/10/2014,31.541
17/10/2014,32.770
18/10/2014,28.951
19/10/2014,30.480
20/10/2014,31.642
21/10/2014,24.681
22/10/2014,30.642
23/10/2014,31.277
24/10/2014,29.144
25/10/2014,30.053
26/10/2014,26.514
27/10/2014,33.716
28/10/2014,35.320
29/10/2014,23.281
30/10/2014,32.503
31/10/2014,36.478
01/11/2014,31.912
02/11/2014,15.887
03/11/2014,22.347
04/11/2014,23.525
05/11/2014,27.970
06/11/2014,28.274
07/11/2014,26.779
08/11/2014,17.473
09/11/2014,24.099
10/11/2014,28.303
11/11/2014,28.993
12/11/2014,24.878
13/11/2014,27.839
14/11/2014,21.442
15/11/2014,22.842
16/11/2014,17.849
17/11/2014,21.398
18/11/2014,26.094
19/11/2014,28.807
20/11/2014,29.068
21/11/2014,24.070
22/11/2014,18.347
23/11/2014,6.030
24/11/2014,25.884
25/11/2014,24.359
26/11/2014,23.096
27/11/2014,26.765
28/11/2014,26.782
29/11/2014,24.337
30/11/2014,19.998
01/12/2014,24.983
02/12/2014,21.614
03/12/2014,25.376
04/12/2014,19.993
05/12/2014,22.939
06/12/2014,17.431
07/12/2014,12.789
08/12/2014,23.519
09/12/2014,23.925
10/12/2014,25.028
11/12/2014,23.028
12/12/2014,20.436
13/12/2014,18.255
14/12/2014,14.441
15/12/2014,22.940
16/12/2014,23.087
17/12/2014,22.120
18/12/2014,23.196
19/12/2014,21.966
20/12/2014,14.690
21/12/2014,11.802
22/12/2014,18.552
23/12/2014,16.551
24/12/2014,10.385
25/12/2014,39.145
26/12/2014,7.678
27/12/2014,6.349
28/12/2014,9.293
29/12/2014,12.411
30/12/2014,13.120
31/12/2014,12.811
01/01/2015,9.615
02/01/2015,15.389
03/01/2015,5.779
04/01/2015,9.367
05/01/2015,20.566
06/01/2015,20.765
07/01/2015,22.504
08/01/2015,15.769
09/01/2015,22.285
10/01/2015,14.877
11/01/2015,14.738
12/01/2015,17.354
13/01/2015,24.966
14/01/2015,23.767
15/01/2015,23.123
16/01/2015,22.894
17/01/2015,15.443
18/01/2015,13.373
19/01/2015,23.193
20/01/2015,23.384
21/01/2015,22.987
22/01/2015,23.432
23/01/2015,22.093
24/01/2015,17.748
25/01/2015,15.267
26/01/2015,22.867
27/01/2015,25.222
28/01/2015,21.685
29/01/2015,21.421
30/01/2015,21.405
31/01/2015,10.385
01/02/2015,11.420
02/02/2015,21.770
03/02/2015,20.028
04/02/2015,22.056
05/02/2015,21.396
06/02/2015,21.146
07/02/2015,13.324
08/02/2015,15.983
09/02/2015,24.078
10/02/2015,24.399
11/02/2015,23.870
12/02/2015,23.429
13/02/2015,17.836
14/02/2015,14.644
15/02/2015,17.253
16/02/2015,16.548
17/02/2015,25.288
18/02/2015,25.340
19/02/2015,17.081
20/02/2015,21.014
21/02/2015,16.490
22/02/2015,9.214
23/02/2015,21.857
24/02/2015,23.758
25/02/2015,21.708
26/02/2015,20.131
27/02/2015,24.540
28/02/2015,13.677
01/03/2015,15.817
02/03/2015,22.379
03/03/2015,24.001
04/03/2015,24.544
05/03/2015,24.959
06/03/2015,25.527
07/03/2015,27.754
08/03/2015,20.207
09/03/2015,24.230
10/03/2015,27.878
11/03/2015,27.610
12/03/2015,28.324
13/03/2015,25.840
14/03/2015,18.270
15/03/2015,10.744
16/03/2015,19.950
17/03/2015,25.956
18/03/2015,26.618
19/03/2015,24.241
20/03/2015,25.424
21/03/2015,16.304
22/03/2015,18.782
23/03/2015,25.741
24/03/2015,24.161
25/03/2015,25.779
26/03/2015,20.415
27/03/2015,26.567
28/03/2015,19.242
29/03/2015,8.987
30/03/2015,22.235
31/03/2015,22.898
01/04/2015,23.677
02/04/2015,22.818
03/04/2015,11.503
04/04/2015,13.828
05/04/2015,19.685
06/04/2015,25.724
07/04/2015,29.525
08/04/2015,30.882
09/04/2015,31.671
10/04/2015,32.299
11/04/2015,25.415
12/04/2015,29.457
13/04/2015,28.203
14/04/2015,34.830
15/04/2015,37.709
16/04/2015,30.656
17/04/2015,30.001
18/04/2015,29.846
19/04/2015,19.906
20/04/2015,32.163
21/04/2015,35.103
22/04/2015,32.559
23/04/2015,32.935
24/04/2015,32.332
25/04/2015,25.441
26/04/2015,19.565
27/04/2015,30.735
28/04/2015,32.024
29/04/2015,26.197
30/04/2015,31.854
01/05/2015,29.822
02/05/2015,22.474
03/05/2015,21.375
04/05/2015,26.933
05/05/2015,26.633
06/05/2015,24.556
07/05/2015,31.283
08/05/2015,27.029
09/05/2015,27.995
10/05/2015,32.399
11/05/2015,33.872
12/05/2015,33.930
13/05/2015,36.877
14/05/2015,15.657
15/05/2015,32.522
16/05/2015,32.720
17/05/2015,31.506
18/05/2015,24.385
19/05/2015,28.408
20/05/2015,30.650
21/05/2015,34.922
22/05/2015,33.624
23/05/2015,23.989
24/05/2015,30.267
25/05/2015,29.607
26/05/2015,34.880
27/05/2015,36.496
28/05/2015,34.496
29/05/2015,26.155
30/05/2015,29.432
31/05/2015,15.075
01/06/2015,27.893
02/06/2015,28.070
03/06/2015,35.630
04/06/2015,39.687
05/06/2015,35.048
06/06/2015,33.088
07/06/2015,35.757
08/06/2015,32.745
09/06/2015,33.447
10/06/2015,35.862
11/06/2015,38.969
12/06/2015,35.367
13/06/2015,30.566
14/06/2015,25.402
15/06/2015,34.723
16/06/2015,38.166
17/06/2015,38.799
18/06/2015,38.875
19/06/2015,36.220
20/06/2015,26.546
21/06/2015,30.621
22/06/2015,29.711
23/06/2015,37.663
24/06/2015,39.183
25/06/2015,38.856
26/06/2015,37.281
27/06/2015,36.885
28/06/2015,25.846
29/06/2015,39.280
30/06/2015,43.582
01/07/2015,42.891
02/07/2015,38.467
03/07/2015,39.940
04/07/2015,38.640
05/07/2015,29.963
06/07/2015,38.895
07/07/2015,38.120
08/07/2015,41.921
09/07/2015,73.094
10/07/2015,43.266
11/07/2015,42.676
12/07/2015,23.498
13/07/2015,27.646
14/07/2015,35.600
15/07/2015,34.878
16/07/2015,39.609
17/07/2015,38.845
18/07/2015,38.906
19/07/2015,36.989
20/07/2015,32.140
21/07/2015,41.001
22/07/2015,38.133
23/07/2015,39.368
24/07/2015,16.135
25/07/2015,32.982
26/07/2015,12.497
27/07/2015,32.103
28/07/2015,36.310
29/07/2015,37.021
30/07/2015,36.350
31/07/2015,36.932
01/08/2015,43.492
02/08/2015,43.679
03/08/2015,35.609
04/08/2015,37.864
05/08/2015,39.010
06/08/2015,63.963
07/08/2015,39.788
08/08/2015,39.362
09/08/2015,40.758
10/08/2015,35.625
11/08/2015,34.567
12/08/2015,36.838
13/08/2015,26.185
14/08/2015,25.638
15/08/2015,34.137
16/08/2015,30.948
17/08/2015,36.003
18/08/2015,34.776
19/08/2015,31.903
20/08/2015,32.857
21/08/2015,36.329
22/08/2015,44.724
23/08/2015,27.202
24/08/2015,17.520
25/08/2015,28.401
26/08/2015,23.969
27/08/2015,30.856
28/08/2015,33.201
29/08/2015,22.828
30/08/2015,25.191
31/08/2015,9.709
01/09/2015,25.739
02/09/2015,30.313
03/09/2015,31.163
04/09/2015,29.913
05/09/2015,22.475
06/09/2015,29.539
07/09/2015,31.917
08/09/2015,32.968
09/09/2015,33.332
10/09/2015,35.956
11/09/2015,34.690
12/09/2015,29.143
13/09/2015,26.342
14/09/2015,25.923
15/09/2015,28.311
16/09/2015,18.764
17/09/2015,32.336
18/09/2015,30.124
19/09/2015,33.855
20/09/2015,31.380
21/09/2015,23.831
22/09/2015,20.567
23/09/2015,34.193
24/09/2015,29.537
25/09/2015,35.064
26/09/2015,32.955
27/09/2015,30.024
28/09/2015,33.341
29/09/2015,34.591
30/09/2015,35.143
01/10/2015,34.845
02/10/2015,35.782
03/10/2015,29.224
04/10/2015,30.096
05/10/2015,20.833
06/10/2015,25.972
07/10/2015,28.817
08/10/2015,33.877
09/10/2015,34.392
10/10/2015,29.683
11/10/2015,27.984
12/10/2015,31.469
13/10/2015,31.753
14/10/2015,30.815
15/10/2015,31.062
16/10/2015,30.295
17/10/2015,24.555
18/10/2015,23.282
19/10/2015,30.127
20/10/2015,32.949
21/10/2015,19.085
22/10/2015,30.539
23/10/2015,30.515
24/10/2015,17.058
25/10/2015,23.591
26/10/2015,30.606
27/10/2015,32.635
28/10/2015,24.040
29/10/2015,27.534
30/10/2015,24.195
31/10/2015,27.765
01/11/2015,23.085
02/11/2015,28.256
03/11/2015,30.911
04/11/2015,23.675
05/11/2015,24.685
06/11/2015,25.677
07/11/2015,15.031
08/11/2015,18.943
09/11/2015,28.623
10/11/2015,29.429
11/11/2015,30.049
12/11/2015,29.108
13/11/2015,25.410
14/11/2015,8.983
15/11/2015,17.711
16/11/2015,26.676
17/11/2015,23.773
18/11/2015,26.636
19/11/2015,23.852
20/11/2015,25.993
21/11/2015,12.847
22/11/2015,13.205
23/11/2015,24.070
24/11/2015,21.348
25/11/2015,26.187
26/11/2015,26.826
27/11/2015,23.667
28/11/2015,16.523
29/11/2015,11.453
30/11/2015,21.886
01/12/2015,26.714
02/12/2015,27.975
03/12/2015,26.038
04/12/2015,26.130
05/12/2015,16.667
06/12/2015,15.627
07/12/2015,25.897
08/12/2015,23.565
09/12/2015,27.739
10/12/2015,23.251
11/12/2015,23.439
12/12/2015,16.815
13/12/2015,12.364
14/12/2015,23.972
15/12/2015,20.310
16/12/2015,25.740
17/12/2015,25.977
18/12/2015,25.886
19/12/2015,18.883
20/12/2015,13.118
21/12/2015,18.239
22/12/2015,17.571
23/12/2015,18.568
24/12/2015,8.968
25/12/2015,22.871
26/12/2015,10.362
27/12/2015,9.507
28/12/2015,13.851
29/12/2015,15.717
30/12/2015,12.379
31/12/2015,14.024
01/01/2016,9.922
02/01/2016,7.246
03/01/2016,4.894
04/01/2016,20.644
05/01/2016,22.934
06/01/2016,23.199
07/01/2016,18.225
08/01/2016,20.948
09/01/2016,11.674
10/01/2016,14.447
11/01/2016,21.188
12/01/2016,22.924
13/01/2016,24.726
14/01/2016,22.266
15/01/2016,22.594
16/01/2016,16.258
17/01/2016,11.826
18/01/2016,22.905
19/01/2016,23.919
20/01/2016,23.919
21/01/2016,23.490
22/01/2016,18.431
23/01/2016,17.424
24/01/2016,16.474
25/01/2016,25.886
26/01/2016,20.329
27/01/2016,21.816
28/01/2016,25.490
29/01/2016,22.701
30/01/2016,16.528
31/01/2016,11.098
01/02/2016,23.742
02/02/2016,24.643
03/02/2016,24.601
04/02/2016,25.344
05/02/2016,22.806
06/02/2016,13.255
07/02/2016,14.219
08/02/2016,19.924
09/02/2016,23.460
10/02/2016,23.769
11/02/2016,25.393
12/02/2016,22.995
13/02/2016,9.948
14/02/2016,13.782
15/02/2016,21.918
16/02/2016,24.537
17/02/2016,19.168
18/02/2016,23.696
19/02/2016,22.300
20/02/2016,11.224
21/02/2016,14.745
22/02/2016,20.538
23/02/2016,25.832
24/02/2016,25.634
25/02/2016,24.296
26/02/2016,23.714
27/02/2016,14.871
28/02/2016,13.549
29/02/2016,23.738
01/03/2016,20.876
02/03/2016,20.775
03/03/2016,24.559
04/03/2016,24.179
05/03/2016,12.340
06/03/2016,12.591
07/03/2016,22.785
08/03/2016,23.308
09/03/2016,19.280
10/03/2016,23.648
11/03/2016,21.026
12/03/2016,21.834
13/03/2016,21.938
14/03/2016,25.597
15/03/2016,25.379
16/03/2016,25.489
17/03/2016,27.198
18/03/2016,23.210
19/03/2016,18.060
20/03/2016,17.163
21/03/2016,25.990
22/03/2016,29.312
23/03/2016,27.052
24/03/2016,19.477
25/03/2016,25.612
26/03/2016,11.211
27/03/2016,10.149
28/03/2016,10.316
29/03/2016,18.945
30/03/2016,26.700
31/03/2016,28.486
01/04/2016,27.310
02/04/2016,24.416
03/04/2016,21.068
04/04/2016,25.182
05/04/2016,30.155
06/04/2016,24.132
07/04/2016,22.338
08/04/2016,27.357
09/04/2016,19.858
10/04/2016,23.389
11/04/2016,24.162
12/04/2016,30.801
13/04/2016,30.285
14/04/2016,30.566
15/04/2016,15.919
16/04/2016,17.801
17/04/2016,18.274
18/04/2016,28.512
19/04/2016,33.719
20/04/2016,34.577
21/04/2016,31.937
22/04/2016,20.532
23/04/2016,22.060
24/04/2016,18.873
25/04/2016,24.389
26/04/2016,27.862
27/04/2016,28.431
28/04/2016,28.901
29/04/2016,25.658
30/04/2016,24.844
01/05/2016,29.664
02/05/2016,19.598
03/05/2016,32.037
04/05/2016,36.514
05/05/2016,39.104
06/05/2016,40.117
07/05/2016,44.532
08/05/2016,45.301
09/05/2016,30.821
10/05/2016,21.673
11/05/2016,27.922
12/05/2016,38.525
13/05/2016,35.109
14/05/2016,30.442
15/05/2016,34.725
16/05/2016,37.441
17/05/2016,36.810
18/05/2016,24.335
19/05/2016,34.655
20/05/2016,36.101
21/05/2016,26.785
22/05/2016,31.115
23/05/2016,35.451
24/05/2016,36.580
25/05/2016,31.919
26/05/2016,37.442
27/05/2016,36.133
28/05/2016,31.301
29/05/2016,31.246
30/05/2016,24.041
31/05/2016,16.227
01/06/2016,27.156
02/06/2016,29.162
03/06/2016,29.580
04/06/2016,30.140
05/06/2016,40.836
06/06/2016,39.528
07/06/2016,35.137
08/06/2016,34.588
09/06/2016,41.546
10/06/2016,40.139
11/06/2016,29.018
12/06/2016,18.109
13/06/2016,27.571
14/06/2016,30.218
15/06/2016,37.704
16/06/2016,31.406
17/06/2016,32.018
18/06/2016,29.692
19/06/2016,31.372
20/06/2016,22.309
21/06/2016,39.003
22/06/2016,36.628
23/06/2016,25.129
24/06/2016,36.530
25/06/2016,26.357
26/06/2016,29.597
27/06/2016,33.695
28/06/2016,31.701
29/06/2016,31.496
30/06/2016,35.867
01/07/2016,28.108
02/07/2016,30.802
03/07/2016,34.195
04/07/2016,37.628
05/07/2016,40.955
06/07/2016,42.871
07/07/2016,39.670
08/07/2016,37.311
09/07/2016,34.525
10/07/2016,29.556
11/07/2016,32.781
12/07/2016,30.186
13/07/2016,36.128
14/07/2016,40.364
15/07/2016,37.045
16/07/2016,38.916
17/07/2016,38.340
18/07/2016,43.497
19/07/2016,46.625
20/07/2016,45.156
21/07/2016,41.731
22/07/2016,36.401
23/07/2016,42.121
24/07/2016,39.070
25/07/2016,40.999
26/07/2016,42.528
27/07/2016,33.646
28/07/2016,39.009
29/07/2016,35.737
30/07/2016,46.251
31/07/2016,46.276
01/08/2016,30.074
02/08/2016,28.949
03/08/2016,40.683
04/08/2016,39.488
05/08/2016,40.570
06/08/2016,42.579
07/08/2016,38.620
08/08/2016,38.117
09/08/2016,40.052
10/08/2016,38.917
11/08/2016,38.034
12/08/2016,40.645
13/08/2016,43.792
14/08/2016,44.648
15/08/2016,41.764
16/08/2016,40.899
17/08/2016,42.879
18/08/2016,39.379
19/08/2016,25.862
20/08/2016,24.712
21/08/2016,28.625
22/08/2016,36.064
23/08/2016,42.558
24/08/2016,41.088
25/08/2016,38.191
26/08/2016,38.222
27/08/2016,32.656
28/08/2016,26.325
29/08/2016,34.665
30/08/2016,39.992
31/08/2016,39.344
01/09/2016,40.302
02/09/2016,34.661
03/09/2016,23.805
04/09/2016,27.901
05/09/2016,28.210
06/09/2016,37.982
07/09/2016,40.232
08/09/2016,41.004
09/09/2016,36.554
10/09/2016,17.308
11/09/2016,39.906
12/09/2016,39.687
13/09/2016,44.035
14/09/2016,44.909
15/09/2016,42.598
16/09/2016,22.204
17/09/2016,27.548
18/09/2016,29.830
19/09/2016,33.401
20/09/2016,37.658
21/09/2016,40.646
22/09/2016,38.411
23/09/2016,38.963
24/09/2016,36.243
25/09/2016,30.015
26/09/2016,35.059
27/09/2016,36.094
28/09/2016,38.893
29/09/2016,34.840
30/09/2016,34.140
01/10/2016,17.832
02/10/2016,27.335
03/10/2016,35.892
04/10/2016,37.162
05/10/2016,36.314
06/10/2016,35.332
07/10/2016,33.361
08/10/2016,27.236
09/10/2016,25.390
10/10/2016,33.045
11/10/2016,35.254
12/10/2016,32.552
13/10/2016,30.762
14/10/2016,32.637
15/10/2016,23.773
16/10/2016,18.685
17/10/2016,29.007
18/10/2016,33.062
19/10/2016,33.953
20/10/2016,32.624
21/10/2016,30.838
22/10/2016,26.322
23/10/2016,23.812
24/10/2016,30.329
25/10/2016,33.313
26/10/2016,34.322
27/10/2016,34.203
28/10/2016,33.769
29/10/2016,28.114
30/10/2016,24.166
31/10/2016,34.747
01/11/2016,32.334
02/11/2016,32.316
03/11/2016,31.111
04/11/2016,22.143
05/11/2016,19.649
06/11/2016,13.576
07/11/2016,17.329
08/11/2016,26.382
09/11/2016,18.878
10/11/2016,26.075
11/11/2016,28.088
12/11/2016,9.709
13/11/2016,19.258
14/11/2016,24.824
15/11/2016,28.810
16/11/2016,27.646
17/11/2016,27.692
18/11/2016,26.884
19/11/2016,18.288
20/11/2016,10.704
21/11/2016,19.374
22/11/2016,27.723
23/11/2016,29.047
24/11/2016,28.091
25/11/2016,27.692
26/11/2016,19.805
27/11/2016,15.628
28/11/2016,26.980
29/11/2016,27.847
30/11/2016,27.119
01/12/2016,26.431
02/12/2016,26.223
03/12/2016,18.120
04/12/2016,15.448
05/12/2016,26.456
06/12/2016,28.347
07/12/2016,29.735
08/12/2016,28.632
09/12/2016,30.076
10/12/2016,15.054
